date, pm25, pm10, o3, no2, so2, co
Oct,153,104,60,29,7,4
Oct,162,100,66,29,7,6
Oct,161,102,76,28,7,5
Oct,160,109,65,27,7,5
Oct,159,112,63,28,7,8
Oct,159,119,69,33,7,5
Oct,171,112,73,32,7,19
Oct,167,116,54,36,7,21
Oct,168,119,81,33,7,17
Oct,173,121,76,33,7,7
Oct,177,147,91,30,7,11
Oct,237,138,54,11,7,11
Oct,192,176,49,15,7,11
Oct,198,141,55,15,7,9
Oct,193,142,40,19,7,11
Oct,190,145,82,19,7,9
Oct,197,131,62,16,7,6
Oct,178,132,70,17,7,6
Oct,183,140,65,18,7,9
Oct,184,136,37,11,7,13
Oct,177,183,90,16,8,34
Oct,223,277,58,25,7,18
Oct,269,187,80,32,10,12
Oct,225,180,85,35,7,23
Oct,225,185,64,36,8,6
Oct,221,192,36,21,4,10
Oct,236,226,53,30,7,11
Oct,247,264,36,53,12,14
Oct,291,222,45,32,5,7
Oct,265,310,50,28,6,7
Nov,318,281,52,25,8,9
Nov,297,185,42,27,9,16
Nov,214,175,35,27,8,20
Nov,201,351,22,38,7,12
Nov,344,315,44,41,10,16
Nov,343,256,26,84,14,9
Nov,287,374,57,59,14,6
Nov,370,361,46,64,21,14
Nov,372,590,38,74,14,19
Nov,518,567,39,56,10,25
Nov,493,181,29,14,9,23
Nov,240,165,38,38,6,21
Nov,224,213,51,38,6,18
Nov,257,427,43,37,7,19
Nov,451,342,57,19,3,10
Nov,377,84,31,15,5,13
Nov,169,95,34,22,5,13
Nov,166,113,59,26,5,16
Nov,192,130,57,31,6,16
Nov,202,141,53,32,4,13
Nov,221,124,47,24,5,12
Nov,194,149,51,25,7,17
Nov,221,213,45,41,8,21
Nov,267,219,58,38,7,20
Nov,285,248,28,39,5,15
Nov,324,111,28,24,5,13
Nov,187,90,33,22,5,14
Nov,155,124,51,25,6,16
Nov,193,139,61,29,7,17
Nov,206,185,61,29,7,19
Dec,259,229,60,37,9,20
Dec,306,180,57,37,5,15
Dec,272,200,60,34,8,20
Dec,272,216,51,32,6,21
Dec,297,226,47,28,5,19
Dec,328,194,53,11,2,17
Dec,297,281,46,4,8,20
Dec,372,215,54,2,6,20
Dec,301,195,44,18,8,18
Dec,265,154,26,26,9,18
Dec,217,152,18,32,5,15
Dec,222,212,15,20,4,16
Dec,288,105,25,14,3,9
Dec,184,84,32,13,3,12
Dec,166,114,27,8,12,12
Dec,194,112,24,2,3,11
Dec,178,132,24,2,4,13
Dec,192,123,38,4,4,15
Dec,192,149,48,5,6,13
Dec,229,144,44,4,7,14
Dec,224,180,47,3,12,18
Dec,252,306,39,2,11,23
Dec,368,353,40,3,11,27
Dec,410,337,34,3,10,20
Dec,385,235,39,2,8,17
Dec,305,267,41,13,9,20
Dec,323,292,43,22,7,13
Dec,355,154,31,22,7,15
Dec,173,170,38,23,6,13
Dec,210,137,29,18,5,13
Dec,224,179,23,23,6,17
Jan,91,77,7,13,7,8
Jan,112,80,8,8,6,8
Jan,111,59,5,2,7,7
Jan,77,45,4,9,6,6
Jan,61,67,3,9,4,6
Jan,73,27,3,7,4,4
Jan,47,30,3,6,4,5
Jan,42,45,3,5,4,6
Jan,65,53,5,9,4,5
Jan,69,44,4,13,4,5
Jan,62,41,5,15,4,4
Jan,57,78,6,20,4,5
Jan,99,100,7,21,4,5
Jan,116,73,6,13,4,5
Jan,90,55,5,13,4,6
Jan,66,61,5,14,4,6
Jan,77,64,6,12,4,6
Jan,75,38,7,14,5,7
Jan,48,33,7,18,4,5
Jan,50,31,5,20,4,4
Jan,34,31,4,13,3,4
Jan,26,52,9,26,5,7
Jan,47,59,6,27,4,5
Jan,56,46,5,17,3,5
Jan,59,60,8,26,5,8
Jan,72,61,7,19,3,4
Jan,73,56,7,21,5,6
Jan,62,49,5,15,5,5
Jan,59,34,8,15,5,5
Jan,47,53,7,17,3,6
Jan,65,51,15,10,5,5
Feb,65,46,5,13,4,7
Feb,55,51,6,15,5,5
Feb,56,43,10,15,4,5
Feb,52,47,5,17,4,7
Feb,58,40,6,10,4,4
Feb,48,35,8,12,4,5
Feb,46,55,15,17,4,7
Feb,80,33,8,15,4,7
Feb,54,33,7,10,4,6
Feb,48,47,10,14,4,7
Feb,76,38,9,11,4,5
Feb,62,18,5,12,5,6
Feb,28,23,7,9,4,5
Feb,27, , , , , 
Feb,24,28,4,6,3,81
Feb,39,25,8,2,5,28
Feb,38,35,8, ,4,11
Feb,47,35,72,1,3,23
Feb,45, ,77, ,1, 
Feb,46,38,8,11,3,5
Feb,47,41,11,12,3,6
Feb,49,46,8,15,8,8
Feb,61,59,11,14,8,8
Feb,96,42,6,9,9,5
Feb,91,30,8,8,6,5
Feb,39,38,19,12,7,40
Feb,47,55,11,9,6,17
Feb,59,55,7,8,7,8
Mar,70,37,14,13,7,4
Mar,60,40,16,12,6,4
Mar,61,58,7,14,7,5
Mar,89,47,11,10,7,5
Mar,68,69,8,11,7,5
Mar,105,142,9,6,6,5
Mar,106,82,22,30,7,8
Mar,130,84,18,36,7,8
Mar,190,89,16,24,7,38
Mar,165,80,52,23,7,23
Mar,149,90,40,23,7,5
Mar,153,75,34,20,7,4
Mar,122,64,29,18,7,2
Mar,104,70,46,24,7,4
Mar,138,77,44,22,7,3
Mar,150,78,71,24,7,3
Mar,147,55,27,22,7,3
Mar,98,48,27,18,7,3
Mar,74,55,60,20,7,5
Mar,108,74,59,20,7,5
Mar,133,86,18,25,7,3
Mar,143,72,47,20,7,5
Mar,115,94,43,27,7,2
Mar,154,102,46,27,7,2
Mar,155,94,52,27,7,4
Mar,149,101,51,29,7,6
Mar,72,50,33,4,6,2
Mar,63,54,42,6,8, 
Mar,101,67,38,10,7, 
Mar,105,69,45,12,7, 
Mar,111,78,38,9,6, 
Apr,177,71,35,4, , 
Apr,79,83,41,13,9,4
Apr,135,76,46,10,8,4
Apr,115,66,38,6,8,4
Apr,103,99,38,9, ,4
