date, pm25, pm10, o3, no2, so2, co
Oct,202,46,1,6,8,3
Oct,214,95,1,8,10,7
Oct,308,32,1,9,9,4
Oct,362,32,1,5,8,3
Oct,390,48,1,5,8,3
Oct,466,52,1,5,8,3
Oct,180,71,1,6,10,6
Oct,151,80,1,7,9,6
Oct,158,57,1,4,8,7
Oct,137,59,1,2,9,6
Oct,144,62,1,3,10,7
Oct,127,60,1,5,10,7
Oct,123,31,2,4,10,7
Oct,79,40,1,3,12,8
Oct,83,115,1,2,19,4
Oct,138,46,1,3, ,1
Oct,71,54,1,5, ,1
Oct,84,57,1,9, ,2
Oct,98,51,1,11, ,3
Oct,115,58,1,11,1,4
Oct,135,56,1,13,4,3
Oct,122,51,1,5,4,2
Oct,119,50,1,8,3,2
Oct,118,60,1,14,3,4
Oct,129,65,1,12,4,4
Oct,130,142,1,16,4,3
Oct,232,82,1,11,2,5
Oct,164,83,2,5,3,6
Oct,165,78,2,4,4,7
Oct,154,75,2,5,4,6
Nov,145,87,2,4,4,7
Nov,166,98,2,4,5,7
Nov,174,103,2,11,5,9
Nov,173,124,1,24,4,6
Nov,165,79,1,26,3,4
Nov,149,88,1,21,4,6
Nov,159,87,1,19,4,5
Nov,159,97,1,25,5,6
Nov,164,133,1,28,5,6
Nov,194,101,1,34,6,6
Nov,169,90,1,30,4,7
Nov,195,121,1,27,9,7
Nov,270,87,22,19,9,6
Nov,158,92,29,16,6,5
Nov,179,113,16,15,5,4
Nov,193,122,1,21,8,6
Nov,196,114,1,20,5,5
Nov,213,110,1,18,4,4
Nov,188,116,1,25,4,5
Nov,187,87,2,19,4,6
Nov,190,91,1,21,5,5
Nov,169,78,1,23,6,4
Nov,143,89,1,22,4,5
Nov,168,115,1,29,5,8
Nov,188,115,1,27,8,8
Nov,188,89,1,24,9,5
Nov,158,80,1,21,6,5
Nov,152,63,1,15,9,3
Nov,120,80,1,21,11,6
Nov,157,85,1,20,8,5
Dec,163,99,1,21,9,6
Dec,172,212,1,19,21,7
Dec,462,218,1,29,13,8
Dec,276,114,1,34,9,10
Dec,176,82,1,23,8,5
Dec,153,92,1,32,8,7
Dec,161,99,1,25,7,6
Dec,165,86,1,25,8,6
Dec,156,85,1,22,5,5
Dec,162,91,1,18,4,6
Dec,169,75,1,16,4,5
Dec,156,78,1,18,3,4
Dec,158,64,1,18,3,4
Dec,136,90,2,16,3,5
Dec,255,98,1,18,3,5
Dec,275,101,1,16,5,10
Dec,179,94,1,27,8,5
Dec,170,88,2,22,8,4
Dec,166,84,4,25,10,4
Dec,153,91,6,29,10,6
Dec,156,105, ,43,9,8
Dec,172,101,13,35,10,7
Dec,169,117, ,32,10,7
Dec,183,111, ,31,12,7
Dec,181,115, ,21,11,7
Dec,189,93, ,21,7,3
Dec,148,105, ,24,7,5
Dec,162,117, ,22,8,6
Dec,174,150, ,21,10,7
Dec,10,16,6,1,2,1
Dec,11,22,11,2,2,1
Jan,12,22,11,1,2,1
Jan,23,47,12, ,2,1
Jan,45,184,13, ,2,1
Jan,243, ,12, ,3,1
Jan,104,55,5,2,1, 
Jan,32,43,4,1,1, 
Jan,25,39,5,1,2, 
Jan,26,16,4,4,3, 
Jan,23,19,4,3,3, 
Jan,20,16,4,4,4, 
Jan,15,13,6,4,4, 
Jan,11,15,7,3,4, 
Jan,13,19,6,3,4, 
Jan,25,34,4,3,5, 
Jan,37,51,5,2,4, 
Jan,41,56,6,2,4, 
Jan,40,38,3,2,4, 
Jan,22, , , , , 
Jan,43,33,6,3,5,1
Jan,50,43,4,1,5,1
Jan,122,18,5,3,5, 
Jan,13,19,2,7,6,2
Jan,41,28,2,5,7,2
Jan,47,15,3,3,6,1
Jan,19,22,4,2,6, 
Jan,824,16,4,2,6, 
Jan,24,29,10,2,5, 
Jan,14,36,22,2,5, 
Jan,32,32,17,2,5, 
Jan,23,50,14,2,5, 
Jan,33,54,7,2,5, 
Feb,36,57,9,2,5, 
Feb,46,47,7,4,5, 
Feb,39,47,8,4,5, 
Feb,36,34,8,3,5, 
Feb,28,39,8,4,5, 
Feb,24,35,9,2,5, 
Feb,26,42,9,1,5, 
Feb,192,46,6,2,5, 
Feb,824,40,6,2,5, 
Feb,106,28, ,1,6, 
Feb,52,31,7,1,6, 
Feb,48,35,6,2,5, 
Feb,49,32,7,2,6, 
Feb,51,29,7,2,6, 
Feb,44,19,6,3,6, 
Feb,41,18,5,3,6,1
Feb,50,27,6,2,6, 
Feb,51,28,7,3,6, 
Feb,45,24,3,4,6,2
Feb,53,34,6,4,7,2
Feb,64,39,5,3,7,1
Feb,61,44,2,5,8,3
Feb,77,175,21,9,9,1
Feb,215, , ,4, , 
Feb,136,21,5,5,8,2
Feb,164,29,2,3,9,1
Feb,101,30,2,2,9,1
Feb,67,23,3,4,10,2
Mar,70,41,3,4,10,3
Mar,105,20,4,2,9,1
Mar,41,32,3,2,7, 
Mar,44,25,2,2,9,1
Mar,47,20,2,3,10,1
Mar,42,26,1,3,12,2
Mar,57,25,2,2,12,2
Mar,81,27,2,1,11,3
Mar,228,35,2,2,12,3
Mar,183,29,2,2,13,4
Mar,193,173,1,6,11,4
Mar,148, ,1,9,9,3
Mar,76, ,1,7,7,1
Mar,44,29,1,8,8,3
Mar,45,34,1,7,10,2
Mar,126,43,1,5,9,1
Mar,271, , , , , 
Mar,61,51,1,7,10,4
Mar,146,51,1,8,9,3
Mar,211,43,1,6,8,2
Mar,70,56,37,2,1,2
Mar,85,60,31,2,1,2
Mar,80,59,22,2,1,2
Mar,83,57,28,2,1,2
Mar,87,50,21,1,1,1
Mar,71,62,18,1,1,1
Mar,80,69,14,1,1,1
Mar,97,68,14,2,1,2
Mar,91,64,22,2,1,1
Mar,80,60,23,1,1,2
Mar,439,556,26,1,1,2
Apr,824,880,19,2,1,2
Apr,824,880,27,3,1,2
Apr,824, ,26,1,1,2
Apr,162,43,17,1,1,1
Apr,61,47,14,1,1,1
Apr,64,47,12,1,1,2
Apr,67,42,13,1,1,1
Apr,64,40,19,1,1,1
Apr,51,42,16,1,1,2
Apr,62,40,13,1,1,1
Apr,59,45,20,2,1,1
Apr,65,54,16, ,1,1
Apr,70,51,14,1,1,1
Apr,69,43,15,1,1,1
Apr,56,40,15,1,1,1
Apr,49,35,13,1,1,1
Apr,45,38,13,2,1,1
Apr,43,40,13,2,1,1
Apr,44,49,13,2,1,1
Apr,48,44,22,1,1,1
Apr,53,52,14,3,1,1
Apr,57,49,14,2,1,1
Apr,57,46,14,1,1,1
Apr,51,55,14,1,1,1
Apr,63,47,10,2,1,1
Apr,49,51,10,2,1,1
Apr,53,50,9,2,1,1
Apr,52,54,10,2,1,1
Apr,59,81,12,2,1,1
Apr,100,81,17,1,1,1
May,105,66,16,2,1,1
May,76,53,15,2,1,1
May,62,41,13,2,1,1
May,48,41,16,2,1,1
May,40,38,15,2,1,1
May,48,43,12,2,1,1
May,51,39,13,1,1,1
May,47,48,12,1,1,1
May,53,51,12,2,1,1
May,54,45,12,2,1,1
May,50,47,11,1,1,1
